"id","PDF","Тема","Lesson","Grade","Date","Name"
"99bf9f00-2f33-43a2-9a43-cd3636fc3aee","[]","[{'id': '38b9c13a-392c-4b92-a9db-45d88fb54b3a', 'name': 'ЕЛЕКТРОДИНАМІКА. Частина ІІ. ЕЛЕКТРОМАГНЕТИЗМ', 'color': 'gray'}]",True,11,"{'start': '2022-11-07', 'end': None, 'time_zone': None}","[{'type': 'text', 'text': {'content': 'Електромагнітне поле.', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Електромагнітне поле.', 'href': None}]"
"0605850a-6b29-49b4-b1c5-ee84a5262b87","[]","[{'id': 'b4b9709a-ff07-4ebe-82ac-fbc0471b7164', 'name': 'ЕЛЕКТРОДИНАМІКА. Частина І. ПОСТІЙНИЙ ЕЛЕКТРИЧНИЙ СТРУМ', 'color': 'default'}]",True,11,"{'start': '2022-09-30', 'end': None, 'time_zone': None}","[{'type': 'text', 'text': {'content': 'Пробний тест ЗНО з фізики Пробний тест ЗНО з фізики', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Пробний тест ЗНО з фізики Пробний тест ЗНО з фізики', 'href': None}]"
"f0acd9ea-6e68-4ea5-b2f6-6a4d3575e6e5","[]","[{'id': 'b4b9709a-ff07-4ebe-82ac-fbc0471b7164', 'name': 'ЕЛЕКТРОДИНАМІКА. Частина І. ПОСТІЙНИЙ ЕЛЕКТРИЧНИЙ СТРУМ', 'color': 'default'}]",True,11,"{'start': '2022-09-21', 'end': None, 'time_zone': None}","[{'type': 'text', 'text': {'content': 'Електричний струм у металах. Інструктаж з БЖ. Лабораторна робота №3. «Вимірювання температурного коефіцієнта опору металу».', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Електричний струм у металах. Інструктаж з БЖ. Лабораторна робота №3. «Вимірювання температурного коефіцієнта опору металу».', 'href': None}]"
"92e629ed-4025-4e87-8e78-98049871fc78","[]","[{'id': 'b9a55ac7-ee38-43e5-b194-601215f98e43', 'name': 'ГЕОМЕТРИЧНА ОПТИКА', 'color': 'pink'}]",True,11,"{'start': '2023-01-16', 'end': None, 'time_zone': None}","[{'type': 'text', 'text': {'content': 'Розв’язування задач.', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Розв’язування задач.', 'href': None}]"
"f246a2cb-ffdf-403a-a9e7-45d1be7ab23a","[]","[{'id': 'b4b9709a-ff07-4ebe-82ac-fbc0471b7164', 'name': 'ЕЛЕКТРОДИНАМІКА. Частина І. ПОСТІЙНИЙ ЕЛЕКТРИЧНИЙ СТРУМ', 'color': 'default'}]",True,11,"{'start': '2022-09-02', 'end': None, 'time_zone': None}","[{'type': 'text', 'text': {'content': 'Підготовка до ЗНО Узагальнення та систематизація знань з курсу фізики.', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Підготовка до ЗНО Узагальнення та систематизація знань з курсу фізики.', 'href': None}]"
"f9726850-1d8b-4159-ad24-1b3033aa500a","[]","[{'id': '2ce415e0-d2d2-4a1a-879a-feb7e808704b', 'name': 'ЕЛЕКТРОМАГНІТНІ КОЛИВАННЯ І ХВИЛІ', 'color': 'yellow'}]",True,11,"{'start': '2022-11-25', 'end': None, 'time_zone': None}","[{'type': 'text', 'text': {'content': 'Розв’язування задач.', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Розв’язування задач.', 'href': None}]"
"24ab0323-ce6d-4552-96ab-f445e928f5ed","[]","[{'id': '2ce415e0-d2d2-4a1a-879a-feb7e808704b', 'name': 'ЕЛЕКТРОМАГНІТНІ КОЛИВАННЯ І ХВИЛІ', 'color': 'yellow'}]",True,11,"{'start': '2022-12-05', 'end': None, 'time_zone': None}","[{'type': 'text', 'text': {'content': 'Електромагнітні хвилі. Властивості електромагнітних хвиль. Досліди Г.Герца.', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Електромагнітні хвилі. Властивості електромагнітних хвиль. Досліди Г.Герца.', 'href': None}]"
"88245022-436b-4237-bc32-8d0b8690affe","[]","[{'id': 'b4b9709a-ff07-4ebe-82ac-fbc0471b7164', 'name': 'ЕЛЕКТРОДИНАМІКА. Частина І. ПОСТІЙНИЙ ЕЛЕКТРИЧНИЙ СТРУМ', 'color': 'default'}]",True,11,"{'start': '2022-09-12', 'end': None, 'time_zone': None}","[{'type': 'text', 'text': {'content': 'Інструктаж з БЖ. Лабораторна робота №1. «Перевірка законів послідовного та паралельного з’єднань провідників». Розв’язування задач.', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Інструктаж з БЖ. Лабораторна робота №1. «Перевірка законів послідовного та паралельного з’єднань провідників». Розв’язування задач.', 'href': None}]"
"8462d8a0-7878-47e7-898b-6d7488e61cfd","[]","[{'id': '2ce415e0-d2d2-4a1a-879a-feb7e808704b', 'name': 'ЕЛЕКТРОМАГНІТНІ КОЛИВАННЯ І ХВИЛІ', 'color': 'yellow'}]",True,11,"{'start': '2022-12-07', 'end': None, 'time_zone': None}","[{'type': 'text', 'text': {'content': 'Розв’язування задач. Принцип радіотелефонного зв’язку. Радіомовлення і телебачення.', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Розв’язування задач. Принцип радіотелефонного зв’язку. Радіомовлення і телебачення.', 'href': None}]"
"1136d45f-2e32-4524-ab12-15ede2615855","[]","[{'id': 'b9a55ac7-ee38-43e5-b194-601215f98e43', 'name': 'ГЕОМЕТРИЧНА ОПТИКА', 'color': 'pink'}]",True,11,"{'start': '2023-02-06', 'end': None, 'time_zone': None}","[{'type': 'text', 'text': {'content': 'Пробний тест ЗНО з фізики Пробний тест ЗНО з фізики', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Пробний тест ЗНО з фізики Пробний тест ЗНО з фізики', 'href': None}]"
